(tensor(1.5547, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1113, device='cuda:0', grad_fn=<AddBackward0>), 1000)
(tensor(1.6642, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9461, device='cuda:0', grad_fn=<AddBackward0>), 1010)
(tensor(1.5383, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.4335, device='cuda:0', grad_fn=<AddBackward0>), 1020)
(tensor(1.7217, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.5481, device='cuda:0', grad_fn=<AddBackward0>), 1030)
(tensor(1.4011, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0334, device='cuda:0', grad_fn=<AddBackward0>), 1040)
(tensor(1.1079, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.2269, device='cuda:0', grad_fn=<AddBackward0>), 1050)
(tensor(0.7901, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.3276, device='cuda:0', grad_fn=<AddBackward0>), 1060)
(tensor(0.8059, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.2283, device='cuda:0', grad_fn=<AddBackward0>), 1070)
(tensor(0.7662, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.2358, device='cuda:0', grad_fn=<AddBackward0>), 1080)
(tensor(0.8459, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.2578, device='cuda:0', grad_fn=<AddBackward0>), 1090)
(tensor(1.0335, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.8970, device='cuda:0', grad_fn=<AddBackward0>), 1100)
(tensor(1.0975, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9985, device='cuda:0', grad_fn=<AddBackward0>), 1110)
(tensor(1.0560, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9338, device='cuda:0', grad_fn=<AddBackward0>), 1120)
(tensor(0.8829, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0572, device='cuda:0', grad_fn=<AddBackward0>), 1130)
(tensor(5.2247, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1283, device='cuda:0', grad_fn=<AddBackward0>), 1140)
(tensor(2.5740, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.4260, device='cuda:0', grad_fn=<AddBackward0>), 1150)
(tensor(3.3339, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.3143, device='cuda:0', grad_fn=<AddBackward0>), 1160)
(tensor(1.3034, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.3568, device='cuda:0', grad_fn=<AddBackward0>), 1170)
(tensor(2.0083, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.4807, device='cuda:0', grad_fn=<AddBackward0>), 1180)
(tensor(2.6049, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.6976, device='cuda:0', grad_fn=<AddBackward0>), 1190)
(tensor(2.2036, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7427, device='cuda:0', grad_fn=<AddBackward0>), 1200)
(tensor(2.6219, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0576, device='cuda:0', grad_fn=<AddBackward0>), 1210)
(tensor(2.7815, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.2718, device='cuda:0', grad_fn=<AddBackward0>), 1220)
(tensor(2.4779, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.3725, device='cuda:0', grad_fn=<AddBackward0>), 1230)
(tensor(1.6825, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.6448, device='cuda:0', grad_fn=<AddBackward0>), 1240)
(tensor(2.7621, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.4916, device='cuda:0', grad_fn=<AddBackward0>), 1250)
(tensor(2.2601, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.2531, device='cuda:0', grad_fn=<AddBackward0>), 1260)
(tensor(2.1684, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.5885, device='cuda:0', grad_fn=<AddBackward0>), 1270)
(tensor(2.8091, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.4044, device='cuda:0', grad_fn=<AddBackward0>), 1280)
(tensor(1.2677, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.3572, device='cuda:0', grad_fn=<AddBackward0>), 1290)
